Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.53933575,9.345097239,-11.50669007,4.358319835,15.45088058
2.54936775,9.564418112,-12.81052678,3.980141807,16.47510907
2.55939975,9.679580194,-13.80684555,3.724644211,17.26835925
2.56943175,9.599193258,-14.65256577,3.674511938,17.89816283
2.57946375,9.39438225,-15.45736835,3.993126134,18.5237607
2.58949575,9.180009876,-16.22776824,4.545388636,19.190456
2.59952875,8.805147804,-16.90563128,5.116411344,19.7359738
2.60956075,8.627524595,-17.90565835,5.681409082,20.67184536
2.61959275,8.698231466,-19.22250628,6.080031899,21.95747632
2.62962475,8.606000994,-20.23743323,6.444404066,22.91609261
2.63965675,8.35945607,-20.91109094,6.822561629,23.53086436
2.64968875,8.013009127,-21.40243481,7.284134985,23.98606166
2.65972075,7.529211089,-21.59543269,7.861075661,24.18363586
2.66975275,6.953686025,-21.92910288,8.021886955,24.36370195
2.67978575,6.017614042,-21.65640746,8.395971347,23.99383249
2.68981775,5.309701583,-21.72551687,8.39116669,23.88729144
2.69984975,4.446550811,-21.50653864,8.515433471,23.55452453
2.70988175,3.516614311,-21.09790948,8.560043634,23.03828787
2.71991375,2.567590161,-20.53215863,8.64526037,22.4254896
2.72994575,1.614044359,-19.70817133,8.67356791,21.59277511
2.73997775,0.560189572,-18.78696824,8.634298595,20.68369165
2.75000975,-0.564262158,-18.15882642,8.470758405,20.04532655
2.76004275,-2.173694233,-17.43029024,8.542299673,19.53230269
2.77007475,-4.405874655,-16.10229986,8.801779808,18.87239042
2.78010675,-6.552171174,-14.9376456,8.905287219,18.58408845
2.79013875,-8.409620503,-13.9747308,9.178219458,18.71508831
2.80017075,-9.90109962,-13.24139524,9.505377021,19.07140566
2.81020275,-10.80795365,-12.87404859,9.890360624,19.50313366
2.82023475,-11.02533442,-12.84126793,10.24645723,19.7849955
2.83026675,-10.57476435,-13.1393391,10.41328998,19.82181832
2.84029975,-9.690691658,-13.46586985,10.73313502,19.75953802
2.85033175,-8.844493718,-13.44347384,10.78520798,19.37195832
2.86036375,-8.172118297,-13.04113395,10.64994551,18.71566273
2.87039575,-7.562195233,-12.63031325,10.32371415,17.98028597
2.88042775,-7.056214612,-12.25771464,9.411741464,16.98889667
2.89045975,-6.629441544,-11.89971184,8.320190848,15.96177349
2.90049175,-6.219371633,-11.58674547,7.344989882,15.06260703
2.91052375,-5.884867628,-11.33783301,6.406362081,14.29054231
2.92055675,-5.545151415,-11.21170155,5.543866197,13.68157185
2.93058875,-5.203168237,-11.08767392,4.837375782,13.16851082
2.94062075,-4.859697527,-11.08003746,4.056845582,12.76095162
2.95065275,-4.70541231,-10.9408363,3.475270988,12.40646253
2.96068475,-4.620357542,-10.55598193,3.198495959,11.95854651
2.97071675,-4.496760267,-10.14136639,2.772326909,11.43476985
2.98074875,-4.430310169,-9.634523889,2.554328676,10.90762549
2.99078075,-4.189520075,-9.177096208,2.280316456,10.34267936
3.00081375,-4.052961277,-8.879451297,1.727182719,9.912331239
3.01084575,-4.091074013,-8.887599392,1.171615371,9.853882083
3.02087775,-4.177463701,-9.149204405,0.761920266,10.08660829
3.03090975,-3.834408728,-9.798636521,0.735952197,10.54787152
3.04094175,-3.234926451,-10.59651833,0.637130744,11.0976072
3.05097375,-2.458108649,-11.22184296,0.162911614,11.48906427
3.06100575,-2.216588237,-11.50497567,0.034816076,11.71660961
3.07103775,-1.71110463,-12.23924913,-0.73553529,12.38014986
3.08107075,-1.493771226,-12.54074794,-1.82901081,12.76115167
3.09110275,-1.420621973,-12.36362643,-2.523031454,12.69815392
3.10113475,-1.360151823,-11.80581141,-3.341094346,12.34463881
3.11116675,-1.078865082,-10.45810071,-4.035015002,11.26131281
3.12119875,-0.654636723,-8.951395438,-4.614085234,10.09186861
3.13123075,-0.125410497,-7.586924862,-5.130915948,9.15988292
3.14126275,0.336973284,-6.586938134,-5.741385727,8.744416221
3.15129475,0.449707602,-5.73851182,-6.649284071,8.794642318
3.16132775,0.439875509,-4.769398976,-7.555367439,8.94562654
3.17135975,0.481686024,-4.245605983,-8.488024063,9.502828215
3.18139175,0.416414141,-4.059189731,-8.920420983,9.809400212
3.19142375,0.248713657,-4.357883048,-8.721040285,9.752412357
3.20145575,0.206478049,-5.14533752,-7.908913486,9.437586763
3.21148775,0.458243367,-6.26628209,-6.850292634,9.295309967
3.22151975,1.109926077,-7.453473859,-5.610594038,9.394944061
3.23155175,2.280363234,-8.585898852,-4.546854825,9.979559328
3.24158475,3.436622647,-9.827427042,-3.812239302,11.08701339
3.25161675,4.879814873,-11.46867966,-3.415528232,12.92319773
3.26164875,6.701633608,-13.12633022,-3.524814154,15.15377025
3.27168075,8.971108156,-14.30338175,-4.440608286,17.45813601
3.28171275,11.23410691,-14.75249118,-5.490179987,19.33864603
3.29174475,13.44772944,-14.47726858,-6.819966635,20.90322171
3.30177675,16.55008899,-12.95616455,-7.86793386,22.44263863
3.31180975,19.09594213,-10.67631879,-7.791420704,23.22380299
3.32184175,20.7938683,-8.24678958,-8.116628805,23.79651572
3.33187375,22.276079,-5.560495094,-7.259926343,24.08006088
3.34190575,22.75214994,-2.476090592,-6.076920011,23.67953353
3.35193775,22.61852235,0.280192142,-5.691186211,23.32521515
3.36196975,22.28887505,2.661213439,-5.19999203,23.0416129
3.37200175,21.42079741,4.740668682,-4.988107061,22.49901583
3.38203375,20.32617759,6.503030589,-4.932692413,21.90375211
3.39206675,19.68084379,7.919601611,-3.923126192,21.57421194
3.40209875,17.49242977,9.082771264,-3.319930057,19.98759037
3.41213075,15.69082662,9.577284325,-2.96308121,18.62005009
3.42216275,13.92508677,9.984459865,-2.206887414,17.27622159
3.43219475,12.55875971,10.09657438,-1.529836121,16.18652705
3.44222675,11.37127675,10.11021242,-1.070391151,15.25346083
3.45225875,10.25822299,10.10339223,-0.779851484,14.4193565
3.462290625,9.472274179,9.62738093,-1.016472075,13.54413737
3.472323625,8.240589777,9.85229525,-0.451137538,12.8521814
3.482355625,7.234493878,9.883915823,-0.043951474,12.24873975
3.492387625,6.737471777,8.903527792,-0.170133218,11.16670401
3.502419625,5.53761377,8.531796319,-0.014954839,10.17137839
3.512451625,5.683556179,7.704499505,0.613451275,9.59366697
3.522483625,5.393238414,6.752896732,1.819890616,8.831796913
3.532515625,5.063820317,5.48888249,1.451687353,7.607726557
3.542547625,5.579372245,4.217898951,2.1938452,7.330281234
3.552580625,6.354804842,2.4368242,2.732224073,7.333941992
3.562612625,7.536748735,0.256987467,3.608916703,8.360197595
3.572644625,8.968390371,-2.209596722,4.638661958,10.33593384
3.582676625,10.6487597,-4.65438249,5.748008283,12.96529825
3.592708625,12.83863668,-7.11087146,6.839885175,16.19194596
3.602740625,14.91488122,-9.26692172,7.776570531,19.20428518
3.612772625,16.38105651,-10.92287132,8.332716168,21.3794829
3.622805625,17.47024193,-12.09613385,9.110659559,23.11990322
3.632837625,17.85756032,-12.60315761,9.739335229,23.92878378
3.642869625,17.91976067,-13.48383834,10.28514942,24.67217091
3.652901625,17.13737982,-14.04070728,10.4011114,24.47477
3.662933625,15.80029468,-14.06425869,10.55717359,23.64120553
3.672965625,14.89757463,-13.36916742,10.15750704,22.44654354
3.682997625,13.92777065,-12.7795763,9.91561007,21.34524979
3.693029625,12.86206414,-12.77576625,9.209083402,20.33371865
3.703062625,11.87365665,-13.55031416,7.986234727,19.70722409
3.713094625,10.31370956,-13.8885522,6.930135194,18.63575222
3.723126625,8.016018689,-13.28425182,6.202276713,16.70916331
3.733158625,5.408993152,-11.98742359,5.909235315,14.41785675
3.743190625,3.114421184,-10.70270377,6.10997666,12.71138474
3.753222625,1.785273052,-10.23985221,6.29894756,12.15395053
3.763254625,1.350497485,-11.15446667,6.235592979,12.85023696
3.773286625,1.131111124,-12.33816063,6.179994144,13.84564725
3.783319625,1.054454126,-13.6079794,6.027913912,14.92061403
3.793351625,0.62538895,-14.51448611,6.042814956,15.73458074
3.803383625,0.105769115,-14.80929103,5.974386746,15.96933264
3.813415625,-0.447455254,-14.49487338,6.070462346,15.72107133
3.823447625,-1.185829952,-13.79260641,6.004497567,15.08960487
3.833479625,-1.811640487,-13.01835904,6.016834023,14.45551815
3.843511625,-2.467005773,-11.95165968,6.093890385,13.64052002
3.853544625,-3.055239176,-11.03194177,6.123863797,12.98229307
3.863576625,-3.562064719,-10.14952793,5.971419868,12.30280771
