Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.49741975,-4.616549835,-7.621850281,12.95780411,15.72608729
1.50745175,-4.959037628,-7.624993744,12.49676285,15.45644414
1.51748475,-5.173541565,-7.47096405,11.81044006,14.90192372
1.52751825,-5.322930908,-7.256759491,11.06933121,14.26619238
1.53755125,-5.425617371,-7.038663025,10.46099625,13.72634487
1.54758425,-5.470374298,-6.79122757,9.925260315,13.21198544
1.55761725,-5.449866943,-6.521787872,9.424252167,12.69059871
1.56765025,-5.359904022,-6.214925995,8.958271179,12.14925919
1.57768225,-5.214556274,-5.910309448,8.561296692,11.63697366
1.58771525,-5.014572144,-5.620063019,8.258326721,11.17725379
1.59774825,-4.856650543,-5.365891571,8.087531891,10.85301889
1.60778125,-4.77042984,-5.079537048,8.037984924,10.63804019
1.61781425,-4.646038513,-4.822222137,7.980354767,10.41756029
1.62784725,-4.513713684,-4.659360809,7.89458313,10.21800847
1.63788025,-4.356091461,-4.483027496,7.832013245,10.02065366
1.64791225,-4.145778809,-4.387226715,7.871980133,9.919844323
1.65794525,-3.97707962,-4.412973175,7.936346283,9.913480059
1.66797825,-3.868555298,-4.521048431,7.989635468,9.961921196
1.67801125,-3.832630005,-4.577032013,7.828271027,9.844800763
1.68804425,-3.804189148,-4.633913727,7.948620758,9.956183177
1.69807725,-3.380869446,-5.28296402,8.572373657,10.62193848
1.70811025,-3.241209869,-5.659131775,8.823401642,10.97194743
1.71814325,-3.162473602,-5.856870575,8.993148651,11.18842683
1.72817525,-3.137774963,-5.888903961,8.919501801,11.13922502
1.73820825,-3.500321045,-5.365891571,8.566535797,10.69722279
1.74824125,-3.17325119,-5.601501617,8.211773529,10.43453727
1.75827425,-2.33544342,-6.412215729,8.097561035,10.589679
1.76830725,-1.917063446,-6.60860733,7.932604065,10.50119185
1.77834025,-1.837279358,-6.252497864,7.63367569,10.03704785
1.78837325,-1.863624573,-5.839207306,7.061715088,9.350789191
1.79840525,-1.853745117,-5.482798462,6.511459351,8.711862763
1.80843825,-1.751807098,-5.309159546,6.115682373,8.285986609
1.81847125,-1.695673828,-5.209766235,5.91015976,8.058967821
1.82850425,-1.75629776,-5.14135849,5.926176453,8.039758472
1.83853725,-1.772314453,-5.146896973,6.218668213,8.264592023
1.84857025,-1.582359467,-5.154680786,6.395300903,8.365074365
1.85860325,-1.250200195,-5.166655884,6.538852386,8.426975975
1.86863625,-0.816252594,-5.059179382,6.569688263,8.332008653
1.87866825,-0.47391449,-4.830305328,6.470294952,8.088334889
1.88870125,-0.225131836,-4.542004852,6.442752228,7.886035042
1.89873425,-0.127983856,-4.314328308,6.478976898,7.785046581
1.90876725,-0.485739899,-4.766687622,6.499334564,8.074565246
1.91880025,-0.212408295,-5.300627289,7.173682251,8.922078456
1.92883325,0.733025665,-5.397475891,8.062084808,9.729711408
1.93886625,1.345701599,-5.752387848,8.302335205,10.18968344
1.94889825,1.790875854,-6.02826416,8.540190582,10.605756
1.95893125,1.943857727,-6.114933929,8.400830383,10.57094844
1.96896425,1.870360565,-5.81181427,8.29006073,10.2956564
1.97899725,1.632355499,-5.359604645,8.673712921,10.3258531
1.98903025,1.22160965,-5.001698914,9.462422791,10.77250051
1.99906325,0.974323883,-4.82656311,10.77189972,11.84393693
2.00909625,1.00980011,-4.904550934,12.24798019,13.23205709
2.01912825,1.250948639,-5.24434433,13.5817067,14.61269232
2.02916125,1.321452026,-5.970634003,14.80421448,16.01747396
2.03919425,0.984353027,-6.809639282,15.83452194,17.26476826
2.04922725,0.354462891,-7.435188446,16.45498169,18.06029052
2.05926025,-0.553997955,-7.844736786,16.7188829,18.47614285
2.06929325,-1.559157715,-8.053552551,16.8091452,18.70395797
2.07932625,-2.466421051,-7.984995117,16.4787822,18.47684071
