Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.358905875,-0.055099921,0.216546954,-0.022726373,0.224599805
1.368937875,-0.085153294,0.102003508,0.008485479,0.133145794
1.378970875,-0.074107483,0.043027029,0.028537336,0.090319565
1.389002875,-0.033753199,-0.043436919,-0.008100733,0.055602753
1.399035875,0.006877623,-0.145668468,-0.158665366,0.215502442
1.409067875,0.022260478,-0.174006414,-0.375564323,0.414514561
1.419099875,0.035000848,-0.106301796,-0.575296438,0.586081158
1.429132875,0.026860062,-0.019092329,-0.633869752,0.634725801
1.439164875,-0.083081333,0.001148686,-0.487893428,0.494917998
1.449196875,-0.238695933,0.00817353,-0.211383278,0.318944266
1.459229875,-0.351008502,0.000123669,0.066891562,0.357325433
1.469261875,-0.414832761,-0.022216496,0.260517431,0.49035612
1.479294875,-0.466339714,-0.116457825,0.218286501,0.527905437
1.489326875,-0.481223509,-0.140390478,0.009673049,0.501377224
1.499358875,-0.428879235,-0.068747176,-0.226013596,0.489638354
1.509391875,-0.414033154,-0.010905057,-0.38427375,0.564985565
1.519423875,-0.46332299,0.049169821,-0.416808243,0.625151962
1.529455875,-0.49479285,0.061780511,-0.312151269,0.588281575
1.539488875,-0.503383872,0.0032645,-0.196798568,0.54049575
1.549520875,-0.482297351,-0.073924009,-0.112758876,0.500789434
1.559553875,-0.484424129,-0.109037123,-0.102320427,0.506976627
1.569585875,-0.483821427,-0.066170016,-0.134133373,0.506412289
1.579617875,-0.455256171,-0.036802083,-0.204582381,0.500466308
1.589650875,-0.474592621,-0.020095418,-0.289743569,0.556411104
1.599682875,-0.501071152,0.025321367,-0.357668334,0.61614942
1.609714875,-0.485615792,0.082413289,-0.362712143,0.611698247
1.619748333,-0.445199691,0.107547253,-0.300405967,0.547734353
1.629780333,-0.418363748,0.092031081,-0.245564931,0.493761158
1.639813333,-0.347644306,0.038896263,-0.180132249,0.393468055
1.649845333,-0.273786517,0.002320175,-0.167028054,0.320722327
1.659877333,-0.23447861,0.009233338,-0.19998647,0.308318117
1.669910333,-0.226504762,0.039854914,-0.201381615,0.305691636
1.679942333,-0.23092248,0.087273787,-0.197561045,0.316183921
1.689975333,-0.214384946,0.094231973,-0.194605277,0.304486098
1.700007333,-0.18267301,0.072150256,-0.192375734,0.274924555
1.710039333,-0.118491925,0.046597631,-0.176873596,0.217935643
1.720072333,-0.051718622,0.031149872,-0.140595131,0.1530102
1.730104333,-0.026097731,0.003344023,-0.09254739,0.09621483
1.740136333,-0.000939648,-0.023070189,-0.067106155,0.070967265
1.750169333,0.009906352,-0.01380206,-0.115631613,0.116873019
1.760201333,0.07663317,0.022244855,-0.174106109,0.191521313
1.770234333,0.135809477,0.02925245,-0.245098908,0.281732843
1.780266333,0.160343225,0.012238222,-0.259395935,0.305198255
1.790298333,0.170893648,-0.009571307,-0.161574941,0.235377804
1.800331333,0.153871965,-0.034117334,-0.012486144,0.158102745
1.810363333,0.132815411,-0.081338278,0.059600084,0.166757365
1.820395333,0.132297786,-0.151532933,0.029669942,0.203335288
1.830428333,0.142764156,-0.14652947,-0.043790967,0.209213141
1.840460333,0.170717647,-0.077165997,-0.1188622,0.221872325
1.850493333,0.216034007,-0.021416304,-0.136068217,0.256210675
1.860525333,0.239097618,-0.006716112,-0.09841858,0.258648398
1.870557333,0.248488393,-0.07923445,-0.132474518,0.292530472
1.880590333,0.257329237,-0.143595337,-0.202948669,0.357807377
1.890622333,0.305610573,-0.118384775,-0.289704977,0.437426281
1.900654333,0.305507224,-0.04620616,-0.453343985,0.548625958
1.910687333,0.306196757,0.035492014,-0.554490291,0.634409662
1.920719333,0.296851298,0.108569346,-0.598890538,0.677183781
1.930752333,0.517500951,0.224761123,-1.17700475,1.305245179
1.940784333,0.744574209,0.268166174,-1.27045495,1.496783094
1.950816333,0.511263141,0.111033948,-0.800205495,0.956058247
1.960849333,0.367699379,-0.001603599,-0.392026573,0.537485106
1.970881333,0.178780227,-0.099875121,-0.05277346,0.211476825
1.980914333,0.02135637,-0.187189838,0.153872404,0.243254695
1.990946333,0.024036624,-0.213591771,0.289863437,0.360860106
2.000978333,0.095881911,-0.281170966,0.306863632,0.427101559
2.011011333,0.202030949,-0.334922958,0.323362135,0.507496761
2.021043333,0.256304366,-0.386291917,0.278749634,0.54093875
2.031075333,0.164396953,-0.382875681,0.274686989,0.499072226
2.041108333,0.081732673,-0.256987467,0.407442758,0.488602485
2.051140333,0.133422205,-0.191992157,0.532990079,0.582014516
2.061173333,0.164330076,-0.220770983,0.587603658,0.648862281
2.071205333,0.149230372,-0.294343574,0.585893347,0.672442457
2.081237333,0.08537907,-0.366160538,0.44350546,0.581429461
2.091270333,0.045472517,-0.376920584,0.227071357,0.442377981
2.101302333,0.149171242,-0.315942603,0.068201339,0.355982037
2.111334333,0.275434409,-0.221408329,0.021713051,0.354058213
2.121367333,0.238997338,-0.077317733,0.022198954,0.252171674
2.131399333,0.097182478,0.130231526,0.105056924,0.193498428
2.141432333,-0.08550018,0.347057392,0.326616696,0.484187546
2.151464333,-0.308100025,0.54933714,0.653734497,0.907780652
2.161496333,-0.50395266,0.635680927,0.943421933,1.244228061
2.171529333,-0.574636726,0.587310128,1.016228539,1.306851559
2.181561333,-0.538534994,0.49475689,0.891081167,1.152748873
2.191593333,-0.356793152,0.396523082,0.690257961,0.872346239
2.201626333,-0.116699013,0.330885455,0.475465756,0.590907378
2.211658333,0.096662368,0.286428198,0.33734809,0.452977328
2.221691333,0.216200214,0.169440323,0.254466732,0.374440747
2.231723333,0.234230104,0.111601127,0.291984222,0.390606373
2.241755333,0.204823579,0.120949071,0.369904802,0.439785106
2.251788333,0.104023428,0.1461418,0.434479113,0.470053613
2.261820333,-0.064243358,0.150274612,0.4723603,0.499833893
2.271853333,-0.237029458,0.166958765,0.474296898,0.555891842
2.281885333,-0.336766146,0.218744045,0.498350589,0.640010706
2.291917333,-0.341295253,0.294045073,0.546990652,0.708621005
2.301950333,-0.28848057,0.310395058,0.518472612,0.669611813
2.311982333,-0.258062039,0.270375544,0.382953449,0.535118954
2.322014333,-0.290165299,0.270528741,0.194256783,0.441720951
2.332047333,-0.269508256,0.296584519,0.051668336,0.404062735
2.342079333,-0.243995538,0.253826462,-0.035729996,0.353890277
2.352112333,-0.235099,0.190524505,-0.094344825,0.3169733
2.362144333,-0.229736518,0.053773334,-0.164594443,0.287683454
2.372176333,-0.231877038,-0.028191766,-0.181081252,0.295553982
2.382209333,-0.192433475,-0.030390319,-0.187281055,0.270237687
2.392241333,-0.149396945,0.067552882,-0.189881312,0.250873975
2.402273333,-0.144485137,0.19281369,-0.242210968,0.341641958
2.412306333,-0.188514379,0.274161032,-0.246883478,0.414310746
2.422338333,-0.299250849,0.308226033,-0.232089438,0.488282567
2.432371333,-0.380307584,0.320065183,-0.197210212,0.534759242
2.442403333,-0.428831141,0.294788547,-0.188763324,0.553559417
2.452435333,-0.439261843,0.247894462,-0.255977068,0.565620801
2.462468333,-0.384698258,0.222586251,-0.333250946,0.555512
2.472500333,-0.388412117,0.187820168,-0.3472714,0.553839159
2.482533333,-0.361350765,0.139342657,-0.300034668,0.48990974
2.492565333,-0.308359642,0.066688664,-0.240245719,0.396548928
2.502597333,-0.291010807,0.039114949,-0.18651507,0.347857931
2.512630333,-0.320665692,0.044122505,-0.064486018,0.330048069
2.522662333,-0.346544153,-0.075493986,-0.044653432,0.357471846
2.532694333,-0.316924497,-0.161096638,-0.039811352,0.357740419
2.542727333,-0.234389733,-0.260379437,-0.059877242,0.355417053
2.552759333,-0.160883526,-0.332893389,-0.14663472,0.397747732
2.562792333,-0.12094147,-0.353964123,-0.144012244,0.400820366
2.572824333,-0.224717871,-0.278078666,0.088803418,0.368390979
2.582856333,-0.409113892,-0.062714896,0.208625731,0.463499763
2.592889333,-0.469580826,0.099061773,0.195880555,0.518351791
2.602921333,-0.512573941,0.23924643,0.151093222,0.585491299
2.61295325,-0.541569991,0.226114461,-0.003360395,0.586887635
2.62298625,-0.50134736,0.147942157,-0.190443229,0.556331449
2.63301825,-0.412371229,0.029597436,-0.319933328,0.522765123
2.64305125,-0.342332915,-0.015568212,-0.291030541,0.449592004
2.65308325,-0.327945293,-0.015183757,-0.165785521,0.367781865
2.66311525,-0.325588317,0.083429827,-0.108747101,0.353262254
2.67314825,-0.218525213,0.161266208,-0.184546897,0.328355928
2.68318025,-0.074796852,0.17095329,-0.279873469,0.336375913
2.69321325,0.114683633,0.100828217,-0.311890483,0.347266956
2.70324525,0.334767933,-0.087103925,-0.372657672,0.508458851
2.71327725,0.53476332,-0.257425716,-0.320407537,0.67446334
2.72331025,0.660147431,-0.416156863,-0.2155693,0.809599462
2.73334225,0.556733283,-0.537706443,-0.188582645,0.796645204
2.74337425,0.230133398,-0.33198327,0.079935531,0.411781449
2.75340725,0.226985476,-0.105331743,0.320212825,0.406390743
2.76343925,0.293163971,-0.091881977,0.101698283,0.323620074
2.77347225,0.412651457,-0.07731364,-0.04111879,0.421840466
2.78350425,0.519377176,-0.179740486,-0.163824365,0.573496047
2.79353625,0.561748294,-0.244511555,-0.190183028,0.64149562
2.80356925,0.527787519,-0.209580581,-0.146394399,0.58644267
2.81360125,0.503078209,-0.169618955,-0.144797525,0.550295009
2.82363325,0.489317664,-0.152677817,-0.094137248,0.521156515
2.83366625,0.47484829,-0.087774308,0.02368824,0.483473226
2.84369825,0.43033373,-0.034961087,0.179812406,0.467698512
2.85373125,0.343787775,-0.027868122,0.302575868,0.458823302
2.86376325,0.271327325,-0.036070596,0.422733811,0.503610445
2.87379525,0.265778756,-0.075823769,0.500895882,0.572087646
2.88382825,0.33996355,-0.148520447,0.49990127,0.622522946
2.89386025,0.482037442,-0.255567178,0.35903132,0.653129518
2.90389225,0.628851671,-0.305819319,0.149812097,0.715138829
2.91392525,0.73863066,-0.280730086,-0.030683849,0.790775652
2.92395725,0.752627433,-0.22212052,-0.157918092,0.800452186
2.93399025,0.67760137,-0.140854747,-0.186270071,0.716714878
2.94402225,0.574562028,-0.070494617,-0.038675238,0.580161003
2.95405425,0.498795562,-0.092427523,0.184845105,0.539914412
2.96408725,0.405933445,-0.17434409,0.361682448,0.570957106
2.97411925,0.340080787,-0.20253147,0.447392104,0.597355533
2.98415125,0.332588311,-0.173548284,0.426463165,0.567983118
2.99418425,0.341906287,-0.125748173,0.334917988,0.494856111
3.00421625,0.379576828,-0.07977064,0.21042375,0.44127098
3.01424925,0.446436231,-0.045128518,0.079985817,0.455784623
3.02428125,0.49769,-0.045300134,0.036958496,0.501112131
3.03431325,0.525010384,-0.027646805,0.113195663,0.537785745
3.04434625,0.478795892,-0.031085553,0.176909849,0.511379421
3.05437825,0.455018043,-0.050644781,0.208276652,0.502976617
3.06441125,0.426672934,-0.04711394,0.222925682,0.483699675
3.07444325,0.331964413,-0.018392417,0.364630029,0.493450819
3.08447525,0.26430745,0.018998773,0.426636828,0.502233376
3.09450825,0.333528251,-0.010731103,0.221541646,0.400545817
3.10454025,0.405266862,-0.102949002,0.142565643,0.441774478
3.11457225,0.400603854,-0.166219969,0.11828391,0.44955935
3.12460525,0.400970475,-0.19826505,0.118120773,0.462643349
3.13463725,0.373677134,-0.183157891,0.188041193,0.45666279
3.14467025,0.272588734,-0.094510008,0.37227234,0.470981374
3.15470225,0.099817526,-0.012798093,0.614856945,0.623038035
3.16473425,-0.04203768,-0.006640098,0.784967651,0.78612052
3.17476725,-0.153317357,-0.029832494,0.868996818,0.882922227
3.18479925,-0.152232698,-0.093268352,0.617433813,0.642727231
3.19483125,0.057889481,-0.187966933,0.246497562,0.315347123
3.20486425,0.228448523,-0.244520034,-0.065553719,0.340992763
3.21489625,0.332812844,-0.253518899,-0.287255579,0.507495801
3.22492925,0.395559461,-0.233304782,-0.473861865,0.65988141
3.23496125,0.370857899,-0.155012318,-0.530327257,0.665440756
3.24499325,0.312811566,-0.027566113,-0.457599589,0.554985
3.25502625,0.263495126,0.090652016,-0.317058252,0.422105916
3.26505825,0.109979256,0.152666708,-0.205198093,0.278404055
3.27509025,-0.058044871,0.176974753,-0.159773414,0.245391145
3.28512325,-0.141568985,0.182681927,-0.147229382,0.274027289
3.29515525,-0.23454673,0.139173088,-0.030421894,0.274420861
3.30518825,-0.271559313,0.075057491,0.014788193,0.28212901
3.31522025,-0.098331602,-0.009401738,-0.094962291,0.137023112
3.32525225,0.08848416,-0.126124442,-0.130207552,0.201719677
3.33528525,0.155408759,-0.219267663,-0.095987307,0.285383521
3.34531725,0.194911233,-0.206753452,0.037916855,0.286661938
3.35534925,0.201867958,-0.160309019,0.22248714,0.340514583
3.36538225,0.114127993,-0.108088997,0.348978787,0.382746161
3.37541425,0.065970772,-0.063803648,0.343004687,0.355070787
3.38544725,0.094380639,-0.080507389,0.220406116,0.252918961
3.39547925,0.154330825,-0.103848889,0.033741943,0.189053204
3.40551125,0.139909545,-0.079178317,-0.091577922,0.185014601
3.41554425,-0.015744798,0.031991286,-0.094502699,0.101005452
3.42557625,-0.214081037,0.148043314,0.057910824,0.266648039
3.43560825,-0.340059444,0.175633986,0.242487541,0.453087111
3.44564125,-0.410754913,0.133853291,0.359789119,0.562213938
3.45567325,-0.334090753,0.093584687,0.397413029,0.527552689
3.46570625,-0.20849563,0.035728242,0.350455209,0.409348004
3.47573825,-0.114584231,-0.006918718,0.191143141,0.22296438
3.48577025,-0.028072629,-0.01305157,-0.001772291,0.031008982
3.49580325,0.060712663,0.019365394,-0.167146753,0.178882875
3.50583525,0.153429185,0.038570281,-0.308903725,0.34705863
3.51586725,0.19111829,0.039562261,-0.382002692,0.428972528
3.52590025,0.156641791,0.080102177,-0.319186639,0.364462782
3.53593225,0.12410686,0.110070326,-0.176397048,0.242144395
3.54596525,0.062972028,0.102299377,-0.06190915,0.135142079
3.55599725,0.026027857,0.118877403,0.016134222,0.122758296
3.56602925,-0.007190029,0.144050835,0.098139083,0.174452341
3.57606225,0.000757653,0.112463884,0.14730598,0.185331463
3.58609425,0.025823789,0.060636211,0.168130839,0.180586813
3.59612725,0.081189905,0.006995024,0.171473692,0.189852464
3.60615925,0.188248915,-0.064855854,0.117312688,0.23109782
3.616190958,0.28701365,-0.119238761,0.036999426,0.312991493
3.626223958,0.371285622,-0.125534458,-0.046481271,0.394680152
3.636255958,0.416641597,-0.093654853,-0.163800976,0.457375351
3.646287958,0.391999092,-0.014492324,-0.280089816,0.481999606
3.656320958,0.365412387,0.086726195,-0.307614414,0.485462947
3.666352958,0.368987374,0.128549282,-0.262026013,0.470461722
3.676384958,0.344327327,0.089201029,-0.229738857,0.423436033
3.686417958,0.310194937,0.081854587,-0.19354927,0.374676383
3.696449958,0.249203069,0.095815984,-0.100001421,0.285102011
3.706482958,0.205300712,0.093273615,0.032415794,0.227813812
3.716514958,0.197608407,0.040308951,0.13904328,0.244963115
3.726546958,0.242493243,-0.066220302,0.187317892,0.313490181
3.736579958,0.287974932,-0.157551179,0.187088097,0.37782786
3.746611958,0.294610353,-0.179360417,0.175419393,0.386959148
3.756644958,0.291331088,-0.15640074,0.143194218,0.360332594
3.766676958,0.243275892,-0.095827386,0.109917714,0.283633481
3.776708958,0.15208797,-0.04633626,0.117505646,0.197700219
