Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
9.153881333,-1.049382544,-1.830991262,4.285644792,4.777079025
9.163914333,-0.8940612,-2.64563938,3.129956651,4.194684946
9.173947333,-1.053727317,-3.104872096,1.900810525,3.789940982
9.183980333,-1.221742966,-3.311792779,0.738648933,3.606415053
9.194013333,-1.38029782,-3.455142533,-0.074915989,3.721403553
9.204046958,-1.327557689,-3.411811742,-0.793913891,3.746087031
9.214079958,-1.108316338,-3.325772302,-1.11221877,3.677792422
9.224112958,-0.748024358,-3.40078974,-0.989772519,3.620022229
9.234145958,-0.409752115,-3.451312607,-0.783769265,3.562828899
9.244178958,-0.130077744,-3.29255427,-0.633192059,3.355408474
9.254211958,0.150197429,-3.113263435,-0.545009615,3.164175085
9.264244958,0.414537477,-3.06511103,-0.499695156,3.133120201
9.274277958,0.57922986,-3.081782611,-0.592985435,3.191319949
9.284310958,0.670264868,-2.948004749,-0.683554128,3.099553716
9.294343958,0.846899605,-2.717918567,-0.902937858,2.986572794
9.304376958,0.902848981,-2.55537065,-0.999423641,2.888581495
9.314409958,0.638596349,-2.191684946,-0.573943393,2.353868989
9.324442958,0.333415253,-1.553513398,-0.160244114,1.596949524
9.334475958,0.328995343,-0.912235808,-0.286845689,1.011282629
9.344508958,0.286883111,-0.458541575,-0.275900578,0.60719307
9.354541958,0.072197326,-0.018394171,-0.095806628,0.121366014
9.364574958,-0.060171357,0.61554107,0.053998452,0.620827861
9.374607958,-0.223080633,1.037153969,0.035372146,1.061463383
9.384640958,-0.576068856,1.34822935,-0.111491492,1.470376843
9.394674958,-1.027549333,1.780799932,-0.377991502,2.090450575
9.404707958,-1.627421034,2.188099433,-0.549320183,2.781731658
9.414740958,-2.183424584,2.42753122,-0.840545729,3.371463756
9.424773958,-2.558671988,2.68495138,-1.378886887,3.956904763
9.434806958,-2.821247638,2.936983917,-1.804859471,4.454529209
9.444839958,-3.040794799,3.207221759,-2.119304602,4.901444319
9.454872958,-3.039994315,3.494755665,-2.543955131,5.284561505
9.464905958,-2.835804282,3.73700464,-2.917163318,5.524204144
9.474938958,-2.388022168,3.8392549,-3.143982368,5.50700946
9.484971958,-1.845063171,3.900302171,-3.111729711,5.319725267
9.495004958,-1.332714348,4.002430224,-2.895519849,5.116601453
9.505037958,-1.050492053,4.0952805,-2.809195358,5.076064862
9.515070958,-1.198228973,4.389062741,-2.776550353,5.329995898
9.525103958,-1.679151936,4.791733586,-2.795500594,5.796126771
9.535136958,-2.051193311,4.974960181,-2.984842207,6.153609169
9.545169958,-2.319959993,5.065446428,-3.12934094,6.390128058
9.555202958,-2.501785011,5.267846044,-3.072393152,6.591565054
9.565235958,-2.492987875,5.275398892,-3.055411376,6.586376902
9.575268958,-2.244328013,5.018733607,-2.713162734,6.130737906
9.585301958,-1.767683458,4.547060355,-2.183064981,5.344739038
9.595334958,-1.336477032,3.909608599,-1.727648157,4.478390158
9.605367958,-0.882133173,3.30452469,-1.48577165,3.729015923
9.615400958,-0.542597639,2.708927304,-1.013242366,2.942678954
9.625433958,-0.621076044,2.058352057,-0.114302541,2.153047541
9.635466958,-1.074384946,1.902968148,0.802912172,2.328144914
9.645499958,-1.583601708,2.389757037,1.474691176,3.22388696
9.655532958,-2.191727923,3.014130326,2.152820258,4.303868954
9.665565958,-2.780834607,3.105815837,2.961690742,5.11377993
9.675598958,-2.719035385,2.606777031,3.06306392,4.854976878
9.685631958,-2.106690404,1.887263696,2.535501811,3.798509991
9.695664958,-1.42652503,1.359179431,1.673759633,2.585307273
9.705697958,-0.891358617,1.094359034,0.644246805,1.551514043
