sitution,time
rest,0:2:33:10
rest,0:2:33:20
rest,0:2:33:30
rest,0:2:33:40
rest,0:2:33:50
rest,0:2:34:0
rest,0:2:34:10
rest,0:2:34:20
rest,0:2:34:30
rest,0:2:34:40
rest,0:2:34:50
rest,0:2:35:0
rest,0:2:35:10
rest,0:2:35:20
rest,0:2:35:30
rest,0:2:35:40
rest,0:2:35:50
rest,0:2:36:0
rest,0:2:36:10
rest,0:2:36:20
rest,0:2:36:30
rest,0:2:36:40
rest,0:2:36:50
rest,0:2:37:0
rest,0:2:37:10
rest,0:2:37:20
rest,0:2:37:30
rest,0:2:37:40
rest,0:2:37:50
rest,0:2:38:0
rest,0:2:38:10
rest,0:2:38:20
rest,0:2:38:30
rest,0:2:38:40
rest,0:2:38:50
rest,0:2:39:0
rest,0:2:39:10
rest,0:2:39:20
rest,0:2:39:30
rest,0:2:39:40
rest,0:2:39:50
rest,0:2:40:0
rest,0:2:40:10
rest,0:2:40:20
rest,0:2:40:30
rest,0:2:40:40
rest,0:2:40:50
rest,0:2:41:0
rest,0:2:41:10
rest,0:2:41:20
rest,0:2:41:30
rest,0:2:41:40
rest,0:2:41:50
rest,0:2:42:0
rest,0:2:42:10
rest,0:2:42:20
rest,0:2:42:30
rest,0:2:42:40
rest,0:2:42:50
rest,0:2:43:0
rest,0:2:43:10
rest,0:2:43:20
rest,0:2:43:30
rest,0:2:43:40
rest,0:2:43:50
rest,0:2:44:0
rest,0:2:44:10
rest,0:2:44:20
rest,0:2:44:30
rest,0:2:44:40
rest,0:2:44:50
rest,0:2:45:0
rest,0:2:45:10
rest,0:2:45:20
rest,0:2:45:30
rest,0:2:45:40
rest,0:2:45:50
rest,0:2:46:0
rest,0:2:46:10
rest,0:2:46:20
rest,0:2:46:30
rest,0:2:46:40
rest,0:2:46:50
rest,0:2:47:0
rest,0:2:47:10
rest,0:2:47:20
rest,0:2:47:30
rest,0:2:47:40
rest,0:2:47:50
rest,0:2:48:0
rest,0:2:48:10
rest,0:2:48:20
rest,0:2:48:30
rest,0:2:48:40
rest,0:2:48:50
rest,0:2:49:0
rest,0:2:49:10
rest,0:2:49:20
rest,0:2:49:30
rest,0:2:49:40
rest,0:2:49:50
rest,0:2:50:0
rest,0:2:50:10
rest,0:2:50:20
rest,0:2:50:30
rest,0:2:50:40
rest,0:2:50:50
rest,0:2:51:0
rest,0:2:51:10
rest,0:2:51:20
rest,0:2:51:30
rest,0:2:51:40
rest,0:2:51:50
rest,0:2:52:0
rest,0:2:52:10
rest,0:2:52:20
rest,0:2:52:30
rest,0:2:52:40
rest,0:2:52:50
rest,0:2:53:0
rest,0:2:53:10
rest,0:2:53:20
rest,0:2:53:30
rest,0:2:53:40
rest,0:2:53:50
rest,0:2:54:0
rest,0:2:54:10
rest,0:2:54:20
rest,0:2:54:30
rest,0:2:54:40
rest,0:2:54:50
rest,0:2:55:0
rest,0:2:55:10
rest,0:2:55:20
rest,0:2:55:30
rest,0:2:55:40
rest,0:2:55:50
rest,0:2:56:0
rest,0:2:56:10
rest,0:2:56:20
rest,0:2:56:30
rest,0:2:56:40
rest,0:2:56:50
rest,0:2:57:0
rest,0:2:57:10
rest,0:2:57:20
rest,0:2:57:30
rest,0:2:57:40
rest,0:2:57:50
rest,0:2:58:0
rest,0:2:58:10
rest,0:2:58:20
rest,0:2:58:30
rest,0:2:58:40
rest,0:2:58:50
rest,0:2:59:0
rest,0:2:59:10
rest,0:2:59:20
rest,0:2:59:30
rest,0:2:59:40
rest,0:2:59:50
rest,0:3:0:0
rest,0:3:0:10
rest,0:3:0:20
rest,0:3:0:30
rest,0:3:0:40
rest,0:3:0:50
rest,0:3:1:0
rest,0:3:1:10
rest,0:3:1:20
rest,0:3:1:30
rest,0:3:1:40
rest,0:3:1:50
rest,0:3:2:0
rest,0:3:2:10
rest,0:3:2:20
rest,0:3:2:30
rest,0:3:2:40
rest,0:3:2:50
rest,0:3:3:0
rest,0:3:3:10
rest,0:3:3:20
rest,0:3:3:30
rest,0:3:3:40
rest,0:3:3:50
rest,0:3:4:0
rest,0:3:4:10
rest,0:3:4:20
rest,0:3:4:30
rest,0:3:4:40
rest,0:3:4:50
rest,0:3:5:0
rest,0:3:5:10
rest,0:3:5:20
rest,0:3:5:30
rest,0:3:5:40
rest,0:3:5:50
rest,0:3:6:0
rest,0:3:6:10
rest,0:3:6:20
rest,0:3:6:30
rest,0:3:6:40
rest,0:3:6:50
rest,0:3:7:0
rest,0:3:7:10
rest,0:3:7:20
rest,0:3:7:30
rest,0:3:7:40
rest,0:3:7:50
rest,0:3:8:0
